1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5800000014939441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue Aug 16 17:46:01 CDT 2011
Mission Sample Count:  2631
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Aug 16 17:46:01 CDT 2011
Total Mission Samples:  2631
Total Device Samples:  18531
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/16/11 5:46:01 PM,%RH,35.094
8/16/11 6:16:01 PM,%RH,39.117
8/16/11 6:46:01 PM,%RH,37.781
8/16/11 7:16:01 PM,%RH,39.117
8/16/11 7:46:01 PM,%RH,73.21
8/16/11 8:16:01 PM,%RH,60.403
8/16/11 8:46:01 PM,%RH,52.187
8/16/11 9:16:01 PM,%RH,48.321
8/16/11 9:46:01 PM,%RH,44.408
8/16/11 10:16:01 PM,%RH,45.063
8/16/11 10:46:01 PM,%RH,46.37
8/16/11 11:16:01 PM,%RH,52.827
8/16/11 11:46:01 PM,%RH,55.373
8/17/11 12:16:01 AM,%RH,54.103
8/17/11 12:46:01 AM,%RH,53.466
8/17/11 1:16:01 AM,%RH,54.739
8/17/11 1:46:01 AM,%RH,49.615
8/17/11 2:16:01 AM,%RH,48.321
8/17/11 2:46:01 AM,%RH,47.022
8/17/11 3:16:01 AM,%RH,45.717
8/17/11 3:46:01 AM,%RH,47.022
8/17/11 4:16:01 AM,%RH,49.615
8/17/11 4:46:01 AM,%RH,48.321
8/17/11 5:16:01 AM,%RH,47.672
8/17/11 5:46:01 AM,%RH,55.373
8/17/11 6:16:01 AM,%RH,54.739
8/17/11 6:46:01 AM,%RH,56.639
8/17/11 7:16:01 AM,%RH,58.527
8/17/11 7:46:01 AM,%RH,61.648
8/17/11 8:16:01 AM,%RH,54.739
8/17/11 8:46:01 AM,%RH,45.717
8/17/11 9:16:01 AM,%RH,44.408
8/17/11 9:46:01 AM,%RH,49.615
8/17/11 10:16:01 AM,%RH,49.615
8/17/11 10:46:01 AM,%RH,37.781
8/17/11 11:16:01 AM,%RH,43.093
8/17/11 11:46:01 AM,%RH,36.44
8/17/11 12:16:01 PM,%RH,33.743
8/17/11 12:46:01 PM,%RH,32.386
8/17/11 1:16:01 PM,%RH,32.386
8/17/11 1:46:01 PM,%RH,37.781
8/17/11 2:16:01 PM,%RH,37.111
8/17/11 2:46:01 PM,%RH,35.094
8/17/11 3:16:01 PM,%RH,32.386
8/17/11 3:46:01 PM,%RH,31.024
8/17/11 4:16:01 PM,%RH,32.386
8/17/11 4:46:01 PM,%RH,35.768
8/17/11 5:16:01 PM,%RH,37.111
8/17/11 5:46:01 PM,%RH,35.768
8/17/11 6:16:01 PM,%RH,36.44
8/17/11 6:46:01 PM,%RH,39.117
8/17/11 7:16:01 PM,%RH,39.117
8/17/11 7:46:01 PM,%RH,43.093
8/17/11 8:16:01 PM,%RH,47.672
8/17/11 8:46:01 PM,%RH,48.969
8/17/11 9:16:01 PM,%RH,48.969
8/17/11 9:46:01 PM,%RH,47.022
8/17/11 10:16:01 PM,%RH,52.187
8/17/11 10:46:01 PM,%RH,55.373
8/17/11 11:16:01 PM,%RH,57.269
8/17/11 11:46:01 PM,%RH,59.779
8/18/11 12:16:01 AM,%RH,61.648
8/18/11 12:46:01 AM,%RH,63.505
8/18/11 1:16:01 AM,%RH,66.574
8/18/11 1:46:01 AM,%RH,67.792
8/18/11 2:16:01 AM,%RH,63.505
8/18/11 2:46:01 AM,%RH,60.403
8/18/11 3:16:01 AM,%RH,56.007
8/18/11 3:46:01 AM,%RH,52.827
8/18/11 4:16:01 AM,%RH,56.639
8/18/11 4:46:01 AM,%RH,50.904
8/18/11 5:16:01 AM,%RH,54.739
8/18/11 5:46:01 AM,%RH,56.639
8/18/11 6:16:01 AM,%RH,57.899
8/18/11 6:46:01 AM,%RH,57.899
8/18/11 7:16:01 AM,%RH,59.154
8/18/11 7:46:01 AM,%RH,58.527
8/18/11 8:16:01 AM,%RH,52.187
8/18/11 8:46:01 AM,%RH,45.717
8/18/11 9:16:01 AM,%RH,33.065
8/18/11 9:46:01 AM,%RH,33.065
8/18/11 10:16:01 AM,%RH,39.117
8/18/11 10:46:01 AM,%RH,33.743
8/18/11 11:16:01 AM,%RH,33.743
8/18/11 11:46:01 AM,%RH,36.44
8/18/11 12:16:01 PM,%RH,35.768
8/18/11 12:46:01 PM,%RH,36.44
8/18/11 1:16:01 PM,%RH,35.768
8/18/11 1:46:01 PM,%RH,33.743
8/18/11 2:16:01 PM,%RH,30.341
8/18/11 2:46:01 PM,%RH,31.024
8/18/11 3:16:01 PM,%RH,32.386
8/18/11 3:46:01 PM,%RH,33.065
8/18/11 4:16:01 PM,%RH,33.743
8/18/11 4:46:01 PM,%RH,35.094
8/18/11 5:16:01 PM,%RH,28.285
8/18/11 5:46:01 PM,%RH,33.743
8/18/11 6:16:01 PM,%RH,35.094
8/18/11 6:46:01 PM,%RH,36.44
8/18/11 7:16:01 PM,%RH,35.768
8/18/11 7:46:01 PM,%RH,38.45
8/18/11 8:16:01 PM,%RH,39.783
8/18/11 8:46:01 PM,%RH,41.773
8/18/11 9:16:01 PM,%RH,43.751
8/18/11 9:46:01 PM,%RH,45.063
8/18/11 10:16:01 PM,%RH,44.408
8/18/11 10:46:01 PM,%RH,44.408
8/18/11 11:16:01 PM,%RH,47.672
8/18/11 11:46:01 PM,%RH,55.373
8/19/11 12:16:01 AM,%RH,59.779
8/19/11 12:46:01 AM,%RH,61.648
8/19/11 1:16:01 AM,%RH,64.121
8/19/11 1:46:01 AM,%RH,61.648
8/19/11 2:16:01 AM,%RH,56.639
8/19/11 2:46:01 AM,%RH,47.022
8/19/11 3:16:01 AM,%RH,54.103
8/19/11 3:46:01 AM,%RH,57.269
8/19/11 4:16:01 AM,%RH,62.268
8/19/11 4:46:01 AM,%RH,69.61
8/19/11 5:16:01 AM,%RH,73.21
8/19/11 5:46:01 AM,%RH,81.429
8/19/11 6:16:01 AM,%RH,83.157
8/19/11 6:46:01 AM,%RH,83.157
8/19/11 7:16:01 AM,%RH,84.873
8/19/11 7:46:01 AM,%RH,80.27
8/19/11 8:16:01 AM,%RH,65.35
8/19/11 8:46:01 AM,%RH,54.103
8/19/11 9:16:01 AM,%RH,39.783
8/19/11 9:46:01 AM,%RH,37.781
8/19/11 10:16:01 AM,%RH,41.111
8/19/11 10:46:01 AM,%RH,37.111
8/19/11 11:16:01 AM,%RH,39.783
8/19/11 11:46:01 AM,%RH,36.44
8/19/11 12:16:01 PM,%RH,36.44
8/19/11 12:46:01 PM,%RH,34.419
8/19/11 1:16:01 PM,%RH,41.773
8/19/11 1:46:01 PM,%RH,40.447
8/19/11 2:16:01 PM,%RH,39.783
8/19/11 2:46:01 PM,%RH,43.751
8/19/11 3:16:01 PM,%RH,41.111
8/19/11 3:46:01 PM,%RH,52.187
8/19/11 4:16:01 PM,%RH,81.429
8/19/11 4:46:01 PM,%RH,83.73
8/19/11 5:16:01 PM,%RH,69.61
8/19/11 5:46:01 PM,%RH,67.184
8/19/11 6:16:01 PM,%RH,69.005
8/19/11 6:46:01 PM,%RH,58.527
8/19/11 7:16:01 PM,%RH,60.403
8/19/11 7:46:01 PM,%RH,58.527
8/19/11 8:16:01 PM,%RH,50.26
8/19/11 8:46:01 PM,%RH,63.505
8/19/11 9:16:01 PM,%RH,63.505
8/19/11 9:46:01 PM,%RH,51.546
8/19/11 10:16:01 PM,%RH,49.615
8/19/11 10:46:01 PM,%RH,55.373
8/19/11 11:16:01 PM,%RH,55.373
8/19/11 11:46:01 PM,%RH,52.187
8/20/11 12:16:01 AM,%RH,55.373
8/20/11 12:46:01 AM,%RH,58.527
8/20/11 1:16:01 AM,%RH,64.736
8/20/11 1:46:01 AM,%RH,68.399
8/20/11 2:16:01 AM,%RH,74.993
8/20/11 2:46:01 AM,%RH,74.993
8/20/11 3:16:01 AM,%RH,73.21
8/20/11 3:46:01 AM,%RH,61.648
8/20/11 4:16:01 AM,%RH,60.403
8/20/11 4:46:01 AM,%RH,65.35
8/20/11 5:16:01 AM,%RH,62.887
8/20/11 5:46:01 AM,%RH,62.887
8/20/11 6:16:01 AM,%RH,61.648
8/20/11 6:46:01 AM,%RH,61.026
8/20/11 7:16:01 AM,%RH,60.403
8/20/11 7:46:01 AM,%RH,59.779
8/20/11 8:16:01 AM,%RH,52.187
8/20/11 8:46:01 AM,%RH,48.969
8/20/11 9:16:01 AM,%RH,36.44
8/20/11 9:46:01 AM,%RH,39.783
8/20/11 10:16:01 AM,%RH,44.408
8/20/11 10:46:01 AM,%RH,43.093
8/20/11 11:16:01 AM,%RH,41.773
8/20/11 11:46:01 AM,%RH,45.063
8/20/11 12:16:01 PM,%RH,49.615
8/20/11 12:46:01 PM,%RH,43.093
8/20/11 1:16:01 PM,%RH,45.717
8/20/11 1:46:01 PM,%RH,46.37
8/20/11 2:16:01 PM,%RH,41.111
8/20/11 2:46:01 PM,%RH,41.111
8/20/11 3:16:01 PM,%RH,44.408
8/20/11 3:46:01 PM,%RH,50.26
8/20/11 4:16:01 PM,%RH,49.615
8/20/11 4:46:01 PM,%RH,50.26
8/20/11 5:16:01 PM,%RH,37.781
8/20/11 5:46:01 PM,%RH,65.963
8/20/11 6:16:01 PM,%RH,59.154
8/20/11 6:46:01 PM,%RH,59.779
8/20/11 7:16:01 PM,%RH,53.466
8/20/11 7:46:01 PM,%RH,54.103
8/20/11 8:16:01 PM,%RH,54.103
8/20/11 8:46:01 PM,%RH,49.615
8/20/11 9:16:01 PM,%RH,47.022
8/20/11 9:46:01 PM,%RH,48.969
8/20/11 10:16:01 PM,%RH,51.546
8/20/11 10:46:01 PM,%RH,51.546
8/20/11 11:16:01 PM,%RH,50.904
8/20/11 11:46:01 PM,%RH,48.321
8/21/11 12:16:01 AM,%RH,49.615
8/21/11 12:46:01 AM,%RH,48.321
8/21/11 1:16:01 AM,%RH,48.321
8/21/11 1:46:01 AM,%RH,49.615
8/21/11 2:16:01 AM,%RH,50.26
8/21/11 2:46:01 AM,%RH,47.672
8/21/11 3:16:01 AM,%RH,43.751
8/21/11 3:46:01 AM,%RH,44.408
8/21/11 4:16:01 AM,%RH,48.321
8/21/11 4:46:01 AM,%RH,47.022
8/21/11 5:16:01 AM,%RH,44.408
8/21/11 5:46:01 AM,%RH,43.751
8/21/11 6:16:01 AM,%RH,46.37
8/21/11 6:46:01 AM,%RH,42.433
8/21/11 7:16:01 AM,%RH,42.433
8/21/11 7:46:01 AM,%RH,44.408
8/21/11 8:16:01 AM,%RH,39.783
8/21/11 8:46:01 AM,%RH,35.768
8/21/11 9:16:01 AM,%RH,28.285
8/21/11 9:46:01 AM,%RH,33.065
8/21/11 10:16:01 AM,%RH,36.44
8/21/11 10:46:01 AM,%RH,34.419
8/21/11 11:16:01 AM,%RH,33.743
8/21/11 11:46:01 AM,%RH,31.706
8/21/11 12:16:01 PM,%RH,31.024
8/21/11 12:46:01 PM,%RH,37.111
8/21/11 1:16:01 PM,%RH,35.094
8/21/11 1:46:01 PM,%RH,35.768
8/21/11 2:16:01 PM,%RH,37.781
8/21/11 2:46:01 PM,%RH,39.117
8/21/11 3:16:01 PM,%RH,34.419
8/21/11 3:46:01 PM,%RH,32.386
8/21/11 4:16:01 PM,%RH,33.743
8/21/11 4:46:01 PM,%RH,31.024
8/21/11 5:16:01 PM,%RH,28.972
8/21/11 5:46:01 PM,%RH,28.285
8/21/11 6:16:01 PM,%RH,31.706
8/21/11 6:46:01 PM,%RH,31.706
8/21/11 7:16:01 PM,%RH,31.024
8/21/11 7:46:01 PM,%RH,38.45
8/21/11 8:16:01 PM,%RH,41.111
8/21/11 8:46:01 PM,%RH,45.717
8/21/11 9:16:01 PM,%RH,50.904
8/21/11 9:46:01 PM,%RH,54.739
8/21/11 10:16:01 PM,%RH,59.154
8/21/11 10:46:01 PM,%RH,60.403
8/21/11 11:16:01 PM,%RH,60.403
8/21/11 11:46:01 PM,%RH,61.648
8/22/11 12:16:01 AM,%RH,61.026
8/22/11 12:46:01 AM,%RH,60.403
8/22/11 1:16:01 AM,%RH,62.268
8/22/11 1:46:01 AM,%RH,65.35
8/22/11 2:16:01 AM,%RH,65.963
8/22/11 2:46:01 AM,%RH,65.35
8/22/11 3:16:01 AM,%RH,66.574
8/22/11 3:46:01 AM,%RH,67.792
8/22/11 4:16:01 AM,%RH,70.815
8/22/11 4:46:01 AM,%RH,67.184
8/22/11 5:16:01 AM,%RH,66.574
8/22/11 5:46:01 AM,%RH,62.268
8/22/11 6:16:01 AM,%RH,65.963
8/22/11 6:46:01 AM,%RH,68.399
8/22/11 7:16:01 AM,%RH,64.121
8/22/11 7:46:01 AM,%RH,62.268
8/22/11 8:16:01 AM,%RH,61.026
8/22/11 8:46:01 AM,%RH,59.154
8/22/11 9:16:01 AM,%RH,42.433
8/22/11 9:46:01 AM,%RH,41.111
8/22/11 10:16:01 AM,%RH,45.063
8/22/11 10:46:01 AM,%RH,38.45
8/22/11 11:16:01 AM,%RH,44.408
8/22/11 11:46:01 AM,%RH,39.117
8/22/11 12:16:01 PM,%RH,41.111
8/22/11 12:46:01 PM,%RH,46.37
8/22/11 1:16:01 PM,%RH,47.672
8/22/11 1:46:01 PM,%RH,42.433
8/22/11 2:16:01 PM,%RH,43.093
8/22/11 2:46:01 PM,%RH,39.117
8/22/11 3:16:01 PM,%RH,35.768
8/22/11 3:46:01 PM,%RH,33.743
8/22/11 4:16:01 PM,%RH,39.117
8/22/11 4:46:01 PM,%RH,37.111
8/22/11 5:16:01 PM,%RH,33.065
8/22/11 5:46:01 PM,%RH,34.419
8/22/11 6:16:01 PM,%RH,37.781
8/22/11 6:46:01 PM,%RH,37.781
8/22/11 7:16:01 PM,%RH,38.45
8/22/11 7:46:01 PM,%RH,38.45
8/22/11 8:16:01 PM,%RH,39.117
8/22/11 8:46:01 PM,%RH,40.447
8/22/11 9:16:01 PM,%RH,41.773
8/22/11 9:46:01 PM,%RH,43.093
8/22/11 10:16:01 PM,%RH,47.022
8/22/11 10:46:01 PM,%RH,44.408
8/22/11 11:16:01 PM,%RH,54.103
8/22/11 11:46:01 PM,%RH,59.779
8/23/11 12:16:01 AM,%RH,67.792
8/23/11 12:46:01 AM,%RH,70.815
8/23/11 1:16:01 AM,%RH,72.015
8/23/11 1:46:01 AM,%RH,70.213
8/23/11 2:16:01 AM,%RH,70.815
8/23/11 2:46:01 AM,%RH,59.154
8/23/11 3:16:01 AM,%RH,61.026
8/23/11 3:46:01 AM,%RH,56.639
8/23/11 4:16:01 AM,%RH,56.007
8/23/11 4:46:01 AM,%RH,60.403
8/23/11 5:16:01 AM,%RH,64.121
8/23/11 5:46:01 AM,%RH,65.35
8/23/11 6:16:01 AM,%RH,64.736
8/23/11 6:46:01 AM,%RH,64.121
8/23/11 7:16:01 AM,%RH,65.963
8/23/11 7:46:01 AM,%RH,62.887
8/23/11 8:16:01 AM,%RH,60.403
8/23/11 8:46:01 AM,%RH,56.007
8/23/11 9:16:01 AM,%RH,39.117
8/23/11 9:46:01 AM,%RH,38.45
8/23/11 10:16:01 AM,%RH,41.773
8/23/11 10:46:01 AM,%RH,41.111
8/23/11 11:16:01 AM,%RH,37.781
8/23/11 11:46:01 AM,%RH,36.44
8/23/11 12:16:01 PM,%RH,34.419
8/23/11 12:46:01 PM,%RH,42.433
8/23/11 1:16:01 PM,%RH,43.751
8/23/11 1:46:01 PM,%RH,34.419
8/23/11 2:16:01 PM,%RH,39.117
8/23/11 2:46:01 PM,%RH,34.419
8/23/11 3:16:01 PM,%RH,35.768
8/23/11 3:46:01 PM,%RH,29.657
8/23/11 4:16:01 PM,%RH,33.743
8/23/11 4:46:01 PM,%RH,33.743
8/23/11 5:16:01 PM,%RH,33.065
8/23/11 5:46:01 PM,%RH,34.419
8/23/11 6:16:01 PM,%RH,33.743
8/23/11 6:46:01 PM,%RH,35.768
8/23/11 7:16:01 PM,%RH,36.44
8/23/11 7:46:01 PM,%RH,37.781
8/23/11 8:16:01 PM,%RH,37.781
8/23/11 8:46:01 PM,%RH,37.781
8/23/11 9:16:01 PM,%RH,38.45
8/23/11 9:46:01 PM,%RH,38.45
8/23/11 10:16:01 PM,%RH,40.447
8/23/11 10:46:01 PM,%RH,43.751
8/23/11 11:16:01 PM,%RH,45.063
8/23/11 11:46:01 PM,%RH,46.37
8/24/11 12:16:01 AM,%RH,48.969
8/24/11 12:46:01 AM,%RH,54.739
8/24/11 1:16:01 AM,%RH,59.779
8/24/11 1:46:01 AM,%RH,61.026
8/24/11 2:16:01 AM,%RH,57.899
8/24/11 2:46:01 AM,%RH,56.639
8/24/11 3:16:01 AM,%RH,58.527
8/24/11 3:46:01 AM,%RH,55.373
8/24/11 4:16:01 AM,%RH,56.007
8/24/11 4:46:01 AM,%RH,56.639
8/24/11 5:16:01 AM,%RH,58.527
8/24/11 5:46:01 AM,%RH,59.779
8/24/11 6:16:01 AM,%RH,58.527
8/24/11 6:46:01 AM,%RH,58.527
8/24/11 7:16:01 AM,%RH,61.026
8/24/11 7:46:01 AM,%RH,56.639
8/24/11 8:16:01 AM,%RH,48.321
8/24/11 8:46:01 AM,%RH,48.969
8/24/11 9:16:01 AM,%RH,35.094
8/24/11 9:46:01 AM,%RH,31.706
8/24/11 10:16:01 AM,%RH,33.065
8/24/11 10:46:01 AM,%RH,33.065
8/24/11 11:16:01 AM,%RH,33.065
8/24/11 11:46:01 AM,%RH,29.657
8/24/11 12:16:01 PM,%RH,31.706
8/24/11 12:46:01 PM,%RH,32.386
8/24/11 1:16:01 PM,%RH,31.706
8/24/11 1:46:01 PM,%RH,34.419
8/24/11 2:16:01 PM,%RH,29.657
8/24/11 2:46:01 PM,%RH,23.441
8/24/11 3:16:01 PM,%RH,22.744
8/24/11 3:46:01 PM,%RH,29.657
8/24/11 4:16:01 PM,%RH,31.024
8/24/11 4:46:01 PM,%RH,30.341
8/24/11 5:16:01 PM,%RH,28.285
8/24/11 5:46:01 PM,%RH,30.341
8/24/11 6:16:01 PM,%RH,34.419
8/24/11 6:46:01 PM,%RH,35.094
8/24/11 7:16:01 PM,%RH,36.44
8/24/11 7:46:01 PM,%RH,38.45
8/24/11 8:16:01 PM,%RH,41.111
8/24/11 8:46:01 PM,%RH,43.093
8/24/11 9:16:01 PM,%RH,44.408
8/24/11 9:46:01 PM,%RH,48.321
8/24/11 10:16:01 PM,%RH,50.26
8/24/11 10:46:01 PM,%RH,54.103
8/24/11 11:16:01 PM,%RH,56.639
8/24/11 11:46:01 PM,%RH,58.527
8/25/11 12:16:01 AM,%RH,56.007
8/25/11 12:46:01 AM,%RH,56.007
8/25/11 1:16:01 AM,%RH,57.269
8/25/11 1:46:01 AM,%RH,59.779
8/25/11 2:16:01 AM,%RH,64.121
8/25/11 2:46:01 AM,%RH,66.574
8/25/11 3:16:01 AM,%RH,69.61
8/25/11 3:46:01 AM,%RH,71.416
8/25/11 4:16:01 AM,%RH,69.005
8/25/11 4:46:01 AM,%RH,63.505
8/25/11 5:16:01 AM,%RH,50.904
8/25/11 5:46:01 AM,%RH,43.751
8/25/11 6:16:01 AM,%RH,64.121
8/25/11 6:46:01 AM,%RH,59.154
8/25/11 7:16:01 AM,%RH,59.779
8/25/11 7:46:01 AM,%RH,61.648
8/25/11 8:16:01 AM,%RH,57.269
8/25/11 8:46:01 AM,%RH,54.739
8/25/11 9:16:01 AM,%RH,44.408
8/25/11 9:46:01 AM,%RH,44.408
8/25/11 10:16:01 AM,%RH,45.063
8/25/11 10:46:01 AM,%RH,44.408
8/25/11 11:16:01 AM,%RH,44.408
8/25/11 11:46:01 AM,%RH,43.093
8/25/11 12:16:01 PM,%RH,41.111
8/25/11 12:46:01 PM,%RH,42.433
8/25/11 1:16:01 PM,%RH,42.433
8/25/11 1:46:01 PM,%RH,37.111
8/25/11 2:16:01 PM,%RH,36.44
8/25/11 2:46:01 PM,%RH,49.615
8/25/11 3:16:01 PM,%RH,45.063
8/25/11 3:46:01 PM,%RH,35.768
8/25/11 4:16:01 PM,%RH,30.341
8/25/11 4:46:01 PM,%RH,30.341
8/25/11 5:16:01 PM,%RH,30.341
8/25/11 5:46:01 PM,%RH,30.341
8/25/11 6:16:01 PM,%RH,30.341
8/25/11 6:46:01 PM,%RH,33.065
8/25/11 7:16:01 PM,%RH,33.743
8/25/11 7:46:01 PM,%RH,35.768
8/25/11 8:16:01 PM,%RH,37.111
8/25/11 8:46:01 PM,%RH,40.447
8/25/11 9:16:01 PM,%RH,43.093
8/25/11 9:46:01 PM,%RH,61.026
8/25/11 10:16:01 PM,%RH,65.963
8/25/11 10:46:01 PM,%RH,64.121
8/25/11 11:16:01 PM,%RH,62.268
8/25/11 11:46:01 PM,%RH,54.103
8/26/11 12:16:01 AM,%RH,51.546
8/26/11 12:46:01 AM,%RH,50.26
8/26/11 1:16:01 AM,%RH,51.546
8/26/11 1:46:01 AM,%RH,54.739
8/26/11 2:16:01 AM,%RH,57.899
8/26/11 2:46:01 AM,%RH,58.527
8/26/11 3:16:01 AM,%RH,56.639
8/26/11 3:46:01 AM,%RH,57.899
8/26/11 4:16:01 AM,%RH,59.154
8/26/11 4:46:01 AM,%RH,60.403
8/26/11 5:16:01 AM,%RH,61.648
8/26/11 5:46:01 AM,%RH,63.505
8/26/11 6:16:01 AM,%RH,64.121
8/26/11 6:46:01 AM,%RH,64.736
8/26/11 7:16:01 AM,%RH,66.574
8/26/11 7:46:01 AM,%RH,65.963
8/26/11 8:16:01 AM,%RH,59.154
8/26/11 8:46:01 AM,%RH,57.269
8/26/11 9:16:01 AM,%RH,47.022
8/26/11 9:46:01 AM,%RH,47.672
8/26/11 10:16:01 AM,%RH,48.969
8/26/11 10:46:01 AM,%RH,48.321
8/26/11 11:16:01 AM,%RH,48.321
8/26/11 11:46:01 AM,%RH,47.022
8/26/11 12:16:01 PM,%RH,44.408
8/26/11 12:46:01 PM,%RH,40.447
8/26/11 1:16:01 PM,%RH,42.433
8/26/11 1:46:01 PM,%RH,39.783
8/26/11 2:16:01 PM,%RH,38.45
8/26/11 2:46:01 PM,%RH,32.386
8/26/11 3:16:01 PM,%RH,33.743
8/26/11 3:46:01 PM,%RH,33.065
8/26/11 4:16:01 PM,%RH,29.657
8/26/11 4:46:01 PM,%RH,29.657
8/26/11 5:16:01 PM,%RH,28.972
8/26/11 5:46:01 PM,%RH,28.972
8/26/11 6:16:01 PM,%RH,28.972
8/26/11 6:46:01 PM,%RH,31.706
8/26/11 7:16:01 PM,%RH,33.065
8/26/11 7:46:01 PM,%RH,33.065
8/26/11 8:16:01 PM,%RH,33.743
8/26/11 8:46:01 PM,%RH,32.386
8/26/11 9:16:01 PM,%RH,35.094
8/26/11 9:46:01 PM,%RH,36.44
8/26/11 10:16:01 PM,%RH,37.781
8/26/11 10:46:01 PM,%RH,39.783
8/26/11 11:16:01 PM,%RH,43.093
8/26/11 11:46:01 PM,%RH,46.37
8/27/11 12:16:01 AM,%RH,48.969
8/27/11 12:46:01 AM,%RH,50.904
8/27/11 1:16:01 AM,%RH,52.827
8/27/11 1:46:01 AM,%RH,54.103
8/27/11 2:16:01 AM,%RH,55.373
8/27/11 2:46:01 AM,%RH,56.639
8/27/11 3:16:01 AM,%RH,55.373
8/27/11 3:46:01 AM,%RH,55.373
8/27/11 4:16:01 AM,%RH,58.527
8/27/11 4:46:01 AM,%RH,57.269
8/27/11 5:16:01 AM,%RH,57.899
8/27/11 5:46:01 AM,%RH,56.007
8/27/11 6:16:01 AM,%RH,56.639
8/27/11 6:46:01 AM,%RH,55.373
8/27/11 7:16:01 AM,%RH,56.007
8/27/11 7:46:01 AM,%RH,56.007
8/27/11 8:16:01 AM,%RH,50.26
8/27/11 8:46:01 AM,%RH,47.672
8/27/11 9:16:01 AM,%RH,35.768
8/27/11 9:46:01 AM,%RH,33.743
8/27/11 10:16:01 AM,%RH,36.44
8/27/11 10:46:01 AM,%RH,36.44
8/27/11 11:16:01 AM,%RH,37.111
8/27/11 11:46:01 AM,%RH,33.743
8/27/11 12:16:01 PM,%RH,33.065
8/27/11 12:46:01 PM,%RH,28.285
8/27/11 1:16:01 PM,%RH,25.525
8/27/11 1:46:01 PM,%RH,24.832
8/27/11 2:16:01 PM,%RH,23.441
8/27/11 2:46:01 PM,%RH,22.744
8/27/11 3:16:01 PM,%RH,20.644
8/27/11 3:46:01 PM,%RH,21.346
8/27/11 4:16:01 PM,%RH,20.644
8/27/11 4:46:01 PM,%RH,21.346
8/27/11 5:16:01 PM,%RH,21.346
8/27/11 5:46:01 PM,%RH,21.346
8/27/11 6:16:01 PM,%RH,23.441
8/27/11 6:46:01 PM,%RH,24.832
8/27/11 7:16:01 PM,%RH,24.832
8/27/11 7:46:01 PM,%RH,24.137
8/27/11 8:16:01 PM,%RH,27.597
8/27/11 8:46:01 PM,%RH,28.285
8/27/11 9:16:01 PM,%RH,34.419
8/27/11 9:46:01 PM,%RH,35.768
8/27/11 10:16:01 PM,%RH,39.783
8/27/11 10:46:01 PM,%RH,42.433
8/27/11 11:16:01 PM,%RH,43.093
8/27/11 11:46:01 PM,%RH,45.717
8/28/11 12:16:01 AM,%RH,48.321
8/28/11 12:46:01 AM,%RH,47.672
8/28/11 1:16:01 AM,%RH,48.321
8/28/11 1:46:01 AM,%RH,50.26
8/28/11 2:16:01 AM,%RH,51.546
8/28/11 2:46:01 AM,%RH,52.827
8/28/11 3:16:01 AM,%RH,52.827
8/28/11 3:46:01 AM,%RH,52.187
8/28/11 4:16:01 AM,%RH,52.827
8/28/11 4:46:01 AM,%RH,48.969
8/28/11 5:16:01 AM,%RH,47.022
8/28/11 5:46:01 AM,%RH,47.022
8/28/11 6:16:01 AM,%RH,48.969
8/28/11 6:46:01 AM,%RH,51.546
8/28/11 7:16:01 AM,%RH,50.904
8/28/11 7:46:01 AM,%RH,48.969
8/28/11 8:16:01 AM,%RH,43.093
8/28/11 8:46:01 AM,%RH,41.773
8/28/11 9:16:01 AM,%RH,35.094
8/28/11 9:46:01 AM,%RH,34.419
8/28/11 10:16:01 AM,%RH,33.743
8/28/11 10:46:01 AM,%RH,32.386
8/28/11 11:16:01 AM,%RH,31.024
8/28/11 11:46:01 AM,%RH,29.657
8/28/11 12:16:01 PM,%RH,28.972
8/28/11 12:46:01 PM,%RH,26.217
8/28/11 1:16:01 PM,%RH,22.744
8/28/11 1:46:01 PM,%RH,21.346
8/28/11 2:16:01 PM,%RH,22.045
8/28/11 2:46:01 PM,%RH,22.045
8/28/11 3:16:01 PM,%RH,22.045
8/28/11 3:46:01 PM,%RH,20.644
8/28/11 4:16:01 PM,%RH,19.238
8/28/11 4:46:01 PM,%RH,20.644
8/28/11 5:16:01 PM,%RH,19.942
8/28/11 5:46:01 PM,%RH,19.942
8/28/11 6:16:01 PM,%RH,22.744
8/28/11 6:46:01 PM,%RH,23.441
8/28/11 7:16:01 PM,%RH,26.217
8/28/11 7:46:01 PM,%RH,26.908
8/28/11 8:16:01 PM,%RH,28.285
8/28/11 8:46:01 PM,%RH,26.217
8/28/11 9:16:01 PM,%RH,28.972
8/28/11 9:46:01 PM,%RH,29.657
8/28/11 10:16:01 PM,%RH,29.657
8/28/11 10:46:01 PM,%RH,28.972
8/28/11 11:16:01 PM,%RH,29.657
8/28/11 11:46:01 PM,%RH,31.024
8/29/11 12:16:01 AM,%RH,31.706
8/29/11 12:46:01 AM,%RH,33.065
8/29/11 1:16:01 AM,%RH,36.44
8/29/11 1:46:01 AM,%RH,39.783
8/29/11 2:16:01 AM,%RH,39.783
