1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: AC00000013BCE841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Sat Feb 26 11:26:01 CST 2011
Mission Sample Count:  1459
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Feb 26 11:26:01 CST 2011
Total Mission Samples:  1459
Total Device Samples:  12222
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/26/11 11:26:01 AM,C,19.669
2/26/11 11:41:01 AM,C,18.668
2/26/11 11:56:01 AM,C,17.667
2/26/11 12:11:01 PM,C,18.167
2/26/11 12:26:01 PM,C,19.669
2/26/11 12:41:01 PM,C,19.168
2/26/11 12:56:01 PM,C,20.169
2/26/11 1:11:01 PM,C,19.669
2/26/11 1:26:01 PM,C,20.67
2/26/11 1:41:01 PM,C,20.67
2/26/11 1:56:01 PM,C,20.67
2/26/11 2:11:01 PM,C,20.67
2/26/11 2:26:01 PM,C,20.67
2/26/11 2:41:01 PM,C,21.17
2/26/11 2:56:01 PM,C,22.671
2/26/11 3:11:01 PM,C,24.672
2/26/11 3:26:01 PM,C,28.671
2/26/11 3:41:01 PM,C,27.171
2/26/11 3:56:01 PM,C,27.671
2/26/11 4:11:01 PM,C,26.172
2/26/11 4:26:01 PM,C,22.171
2/26/11 4:41:01 PM,C,23.171
2/26/11 4:56:01 PM,C,22.171
2/26/11 5:11:01 PM,C,21.17
2/26/11 5:26:01 PM,C,20.169
2/26/11 5:41:01 PM,C,21.671
2/26/11 5:56:01 PM,C,19.669
2/26/11 6:11:01 PM,C,16.665
2/26/11 6:26:01 PM,C,13.659
2/26/11 6:41:01 PM,C,12.156
2/26/11 6:56:01 PM,C,12.657
2/26/11 7:11:01 PM,C,12.657
2/26/11 7:26:01 PM,C,10.652
2/26/11 7:41:01 PM,C,11.153
2/26/11 7:56:01 PM,C,10.652
2/26/11 8:11:01 PM,C,10.15
2/26/11 8:26:01 PM,C,10.652
2/26/11 8:41:01 PM,C,9.649
2/26/11 8:56:01 PM,C,10.15
2/26/11 9:11:01 PM,C,11.153
2/26/11 9:26:01 PM,C,10.652
2/26/11 9:41:01 PM,C,9.649
2/26/11 9:56:01 PM,C,9.649
2/26/11 10:11:01 PM,C,9.147
2/26/11 10:26:01 PM,C,9.147
2/26/11 10:41:01 PM,C,11.153
2/26/11 10:56:01 PM,C,11.153
2/26/11 11:11:01 PM,C,11.654
2/26/11 11:26:01 PM,C,12.657
2/26/11 11:41:01 PM,C,13.158
2/26/11 11:56:01 PM,C,11.654
2/27/11 12:11:01 AM,C,12.156
2/27/11 12:26:01 AM,C,12.657
2/27/11 12:41:01 AM,C,11.654
2/27/11 12:56:01 AM,C,10.652
2/27/11 1:11:01 AM,C,10.15
2/27/11 1:26:01 AM,C,11.654
2/27/11 1:41:01 AM,C,12.156
2/27/11 1:56:01 AM,C,11.654
2/27/11 2:11:01 AM,C,10.652
2/27/11 2:26:01 AM,C,10.652
2/27/11 2:41:01 AM,C,10.652
2/27/11 2:56:01 AM,C,9.147
2/27/11 3:11:01 AM,C,10.15
2/27/11 3:26:01 AM,C,9.649
2/27/11 3:41:01 AM,C,9.649
2/27/11 3:56:01 AM,C,9.147
2/27/11 4:11:01 AM,C,8.646
2/27/11 4:26:01 AM,C,8.646
2/27/11 4:41:01 AM,C,8.646
2/27/11 4:56:01 AM,C,8.144
2/27/11 5:11:01 AM,C,9.147
2/27/11 5:26:01 AM,C,8.144
2/27/11 5:41:01 AM,C,8.646
2/27/11 5:56:01 AM,C,8.646
2/27/11 6:11:01 AM,C,8.646
2/27/11 6:26:01 AM,C,9.147
2/27/11 6:41:01 AM,C,9.147
2/27/11 6:56:01 AM,C,9.147
2/27/11 7:11:01 AM,C,8.646
2/27/11 7:26:01 AM,C,8.646
2/27/11 7:41:01 AM,C,9.147
2/27/11 7:56:01 AM,C,8.646
2/27/11 8:11:01 AM,C,8.646
2/27/11 8:26:01 AM,C,9.147
2/27/11 8:41:01 AM,C,10.652
2/27/11 8:56:01 AM,C,10.652
2/27/11 9:11:01 AM,C,10.652
2/27/11 9:26:01 AM,C,11.153
2/27/11 9:41:01 AM,C,11.654
2/27/11 9:56:01 AM,C,13.158
2/27/11 10:11:01 AM,C,15.162
2/27/11 10:26:01 AM,C,15.663
2/27/11 10:41:01 AM,C,15.663
2/27/11 10:56:01 AM,C,16.164
2/27/11 11:11:01 AM,C,16.164
2/27/11 11:26:01 AM,C,15.162
2/27/11 11:41:01 AM,C,15.663
2/27/11 11:56:01 AM,C,15.663
2/27/11 12:11:01 PM,C,16.665
2/27/11 12:26:01 PM,C,17.667
2/27/11 12:41:01 PM,C,16.665
2/27/11 12:56:01 PM,C,17.166
2/27/11 1:11:01 PM,C,17.166
2/27/11 1:26:01 PM,C,17.667
2/27/11 1:41:01 PM,C,18.167
2/27/11 1:56:01 PM,C,18.668
2/27/11 2:11:01 PM,C,18.668
2/27/11 2:26:01 PM,C,19.669
2/27/11 2:41:01 PM,C,18.668
2/27/11 2:56:01 PM,C,19.669
2/27/11 3:11:01 PM,C,21.17
2/27/11 3:26:01 PM,C,21.17
2/27/11 3:41:01 PM,C,20.67
2/27/11 3:56:01 PM,C,18.668
2/27/11 4:11:01 PM,C,17.667
2/27/11 4:26:01 PM,C,16.164
2/27/11 4:41:01 PM,C,14.661
2/27/11 4:56:01 PM,C,13.659
2/27/11 5:11:01 PM,C,12.156
2/27/11 5:26:01 PM,C,10.652
2/27/11 5:41:01 PM,C,9.649
2/27/11 5:56:01 PM,C,8.646
2/27/11 6:11:01 PM,C,6.639
2/27/11 6:26:01 PM,C,5.636
2/27/11 6:41:01 PM,C,4.632
2/27/11 6:56:01 PM,C,3.126
2/27/11 7:11:01 PM,C,2.121
2/27/11 7:26:01 PM,C,1.619
2/27/11 7:41:01 PM,C,1.117
2/27/11 7:56:01 PM,C,0.614
2/27/11 8:11:01 PM,C,0.112
2/27/11 8:26:01 PM,C,-0.39
2/27/11 8:41:01 PM,C,-0.893
2/27/11 8:56:01 PM,C,-0.893
2/27/11 9:11:01 PM,C,-1.395
2/27/11 9:26:01 PM,C,-1.395
2/27/11 9:41:01 PM,C,-1.395
2/27/11 9:56:01 PM,C,-1.395
2/27/11 10:11:01 PM,C,-1.395
2/27/11 10:26:01 PM,C,-1.395
2/27/11 10:41:01 PM,C,-1.395
2/27/11 10:56:01 PM,C,-1.395
2/27/11 11:11:01 PM,C,-1.395
2/27/11 11:26:01 PM,C,-0.893
2/27/11 11:41:01 PM,C,-0.39
2/27/11 11:56:01 PM,C,-0.893
2/28/11 12:11:01 AM,C,-0.39
2/28/11 12:26:01 AM,C,-0.39
2/28/11 12:41:01 AM,C,-0.39
2/28/11 12:56:01 AM,C,-0.39
2/28/11 1:11:01 AM,C,-0.39
2/28/11 1:26:01 AM,C,-0.39
2/28/11 1:41:01 AM,C,-0.39
2/28/11 1:56:01 AM,C,0.112
2/28/11 2:11:01 AM,C,-0.39
2/28/11 2:26:01 AM,C,-0.39
2/28/11 2:41:01 AM,C,-0.893
2/28/11 2:56:01 AM,C,-0.893
2/28/11 3:11:01 AM,C,-0.893
2/28/11 3:26:01 AM,C,-0.893
2/28/11 3:41:01 AM,C,-0.39
2/28/11 3:56:01 AM,C,0.112
2/28/11 4:11:01 AM,C,0.112
2/28/11 4:26:01 AM,C,-0.893
2/28/11 4:41:01 AM,C,-0.39
2/28/11 4:56:01 AM,C,-0.39
2/28/11 5:11:01 AM,C,-0.893
2/28/11 5:26:01 AM,C,-1.395
2/28/11 5:41:01 AM,C,-0.893
2/28/11 5:56:01 AM,C,-0.39
2/28/11 6:11:01 AM,C,-1.395
2/28/11 6:26:01 AM,C,-2.4
2/28/11 6:41:01 AM,C,-0.39
2/28/11 6:56:01 AM,C,-0.39
2/28/11 7:11:01 AM,C,-1.395
2/28/11 7:26:01 AM,C,-1.395
2/28/11 7:41:01 AM,C,-1.898
2/28/11 7:56:01 AM,C,-0.39
2/28/11 8:11:01 AM,C,-0.39
2/28/11 8:26:01 AM,C,0.614
2/28/11 8:41:01 AM,C,3.628
2/28/11 8:56:01 AM,C,4.13
2/28/11 9:11:01 AM,C,5.134
2/28/11 9:26:01 AM,C,5.636
2/28/11 9:41:01 AM,C,6.137
2/28/11 9:56:01 AM,C,8.646
2/28/11 10:11:01 AM,C,10.15
2/28/11 10:26:01 AM,C,10.652
2/28/11 10:41:01 AM,C,11.654
2/28/11 10:56:01 AM,C,12.156
2/28/11 11:11:01 AM,C,11.153
2/28/11 11:26:01 AM,C,10.652
2/28/11 11:41:01 AM,C,10.652
2/28/11 11:56:01 AM,C,10.652
2/28/11 12:11:01 PM,C,11.654
2/28/11 12:26:01 PM,C,12.657
2/28/11 12:41:01 PM,C,13.659
2/28/11 12:56:01 PM,C,15.663
2/28/11 1:11:01 PM,C,15.663
2/28/11 1:26:01 PM,C,14.16
2/28/11 1:41:01 PM,C,15.162
2/28/11 1:56:01 PM,C,15.162
2/28/11 2:11:01 PM,C,15.663
2/28/11 2:26:01 PM,C,16.665
2/28/11 2:41:01 PM,C,15.162
2/28/11 2:56:01 PM,C,16.164
2/28/11 3:11:01 PM,C,20.169
2/28/11 3:26:01 PM,C,23.171
2/28/11 3:41:01 PM,C,22.671
2/28/11 3:56:01 PM,C,20.169
2/28/11 4:11:01 PM,C,19.168
2/28/11 4:26:01 PM,C,15.663
2/28/11 4:41:01 PM,C,15.663
2/28/11 4:56:01 PM,C,14.661
2/28/11 5:11:01 PM,C,15.162
2/28/11 5:26:01 PM,C,14.16
2/28/11 5:41:01 PM,C,14.661
2/28/11 5:56:01 PM,C,12.156
2/28/11 6:11:01 PM,C,9.649
2/28/11 6:26:01 PM,C,8.144
2/28/11 6:41:01 PM,C,7.643
2/28/11 6:56:01 PM,C,7.141
2/28/11 7:11:01 PM,C,6.639
2/28/11 7:26:01 PM,C,5.636
2/28/11 7:41:01 PM,C,4.632
2/28/11 7:56:01 PM,C,4.13
2/28/11 8:11:01 PM,C,4.13
2/28/11 8:26:01 PM,C,5.134
2/28/11 8:41:01 PM,C,4.13
2/28/11 8:56:01 PM,C,4.13
2/28/11 9:11:01 PM,C,5.636
2/28/11 9:26:01 PM,C,6.639
2/28/11 9:41:01 PM,C,7.141
2/28/11 9:56:01 PM,C,6.639
2/28/11 10:11:01 PM,C,6.639
2/28/11 10:26:01 PM,C,6.137
2/28/11 10:41:01 PM,C,6.137
2/28/11 10:56:01 PM,C,6.137
2/28/11 11:11:01 PM,C,6.137
2/28/11 11:26:01 PM,C,5.636
2/28/11 11:41:01 PM,C,5.636
2/28/11 11:56:01 PM,C,5.636
3/1/11 12:11:01 AM,C,5.134
3/1/11 12:26:01 AM,C,5.134
3/1/11 12:41:01 AM,C,5.134
3/1/11 12:56:01 AM,C,5.134
3/1/11 1:11:01 AM,C,6.137
3/1/11 1:26:01 AM,C,5.636
3/1/11 1:41:01 AM,C,6.137
3/1/11 1:56:01 AM,C,6.639
3/1/11 2:11:01 AM,C,6.137
3/1/11 2:26:01 AM,C,7.141
3/1/11 2:41:01 AM,C,7.141
3/1/11 2:56:01 AM,C,7.643
3/1/11 3:11:01 AM,C,7.643
3/1/11 3:26:01 AM,C,7.643
3/1/11 3:41:01 AM,C,7.643
3/1/11 3:56:01 AM,C,8.144
3/1/11 4:11:01 AM,C,8.646
3/1/11 4:26:01 AM,C,8.646
3/1/11 4:41:01 AM,C,8.144
3/1/11 4:56:01 AM,C,8.646
3/1/11 5:11:01 AM,C,9.147
3/1/11 5:26:01 AM,C,8.646
3/1/11 5:41:01 AM,C,8.646
3/1/11 5:56:01 AM,C,9.147
3/1/11 6:11:01 AM,C,9.147
3/1/11 6:26:01 AM,C,8.646
3/1/11 6:41:01 AM,C,8.646
3/1/11 6:56:01 AM,C,8.646
3/1/11 7:11:01 AM,C,8.646
3/1/11 7:26:01 AM,C,8.646
3/1/11 7:41:01 AM,C,9.147
3/1/11 7:56:01 AM,C,9.147
3/1/11 8:11:01 AM,C,9.147
3/1/11 8:26:01 AM,C,9.649
3/1/11 8:41:01 AM,C,11.153
3/1/11 8:56:01 AM,C,11.654
3/1/11 9:11:01 AM,C,12.156
3/1/11 9:26:01 AM,C,12.657
3/1/11 9:41:01 AM,C,13.158
3/1/11 9:56:01 AM,C,15.162
3/1/11 10:11:01 AM,C,16.164
3/1/11 10:26:01 AM,C,18.167
3/1/11 10:41:01 AM,C,16.665
3/1/11 10:56:01 AM,C,16.665
3/1/11 11:11:01 AM,C,16.665
3/1/11 11:26:01 AM,C,15.162
3/1/11 11:41:01 AM,C,16.164
3/1/11 11:56:01 AM,C,16.164
3/1/11 12:11:01 PM,C,17.166
3/1/11 12:26:01 PM,C,17.667
3/1/11 12:41:01 PM,C,17.667
3/1/11 12:56:01 PM,C,17.667
3/1/11 1:11:01 PM,C,17.166
3/1/11 1:26:01 PM,C,18.668
3/1/11 1:41:01 PM,C,19.669
3/1/11 1:56:01 PM,C,19.168
3/1/11 2:11:01 PM,C,19.168
3/1/11 2:26:01 PM,C,21.671
3/1/11 2:41:01 PM,C,21.17
3/1/11 2:56:01 PM,C,22.171
3/1/11 3:11:01 PM,C,24.172
3/1/11 3:26:01 PM,C,29.17
3/1/11 3:41:01 PM,C,28.671
3/1/11 3:56:01 PM,C,27.171
3/1/11 4:11:01 PM,C,26.172
3/1/11 4:26:01 PM,C,22.671
3/1/11 4:41:01 PM,C,22.671
3/1/11 4:56:01 PM,C,21.671
3/1/11 5:11:01 PM,C,22.671
3/1/11 5:26:01 PM,C,21.671
3/1/11 5:41:01 PM,C,21.671
3/1/11 5:56:01 PM,C,20.67
3/1/11 6:11:01 PM,C,16.164
3/1/11 6:26:01 PM,C,12.657
3/1/11 6:41:01 PM,C,11.654
3/1/11 6:56:01 PM,C,11.153
3/1/11 7:11:01 PM,C,10.652
3/1/11 7:26:01 PM,C,10.15
3/1/11 7:41:01 PM,C,10.15
3/1/11 7:56:01 PM,C,10.15
3/1/11 8:11:01 PM,C,9.649
3/1/11 8:26:01 PM,C,9.649
3/1/11 8:41:01 PM,C,9.649
3/1/11 8:56:01 PM,C,10.15
3/1/11 9:11:01 PM,C,10.15
3/1/11 9:26:01 PM,C,10.652
3/1/11 9:41:01 PM,C,12.156
3/1/11 9:56:01 PM,C,12.657
3/1/11 10:11:01 PM,C,12.657
3/1/11 10:26:01 PM,C,12.657
3/1/11 10:41:01 PM,C,12.657
3/1/11 10:56:01 PM,C,12.156
3/1/11 11:11:01 PM,C,12.156
3/1/11 11:26:01 PM,C,12.156
3/1/11 11:41:01 PM,C,13.158
3/1/11 11:56:01 PM,C,13.158
3/2/11 12:11:01 AM,C,13.158
3/2/11 12:26:01 AM,C,13.158
3/2/11 12:41:01 AM,C,13.158
3/2/11 12:56:01 AM,C,13.158
3/2/11 1:11:01 AM,C,13.158
3/2/11 1:26:01 AM,C,12.657
3/2/11 1:41:01 AM,C,12.156
3/2/11 1:56:01 AM,C,12.156
3/2/11 2:11:01 AM,C,12.657
3/2/11 2:26:01 AM,C,11.654
3/2/11 2:41:01 AM,C,12.156
3/2/11 2:56:01 AM,C,11.153
3/2/11 3:11:01 AM,C,12.657
3/2/11 3:26:01 AM,C,12.657
3/2/11 3:41:01 AM,C,12.657
3/2/11 3:56:01 AM,C,13.158
3/2/11 4:11:01 AM,C,12.657
3/2/11 4:26:01 AM,C,11.654
3/2/11 4:41:01 AM,C,12.657
3/2/11 4:56:01 AM,C,12.156
3/2/11 5:11:01 AM,C,11.654
3/2/11 5:26:01 AM,C,10.652
3/2/11 5:41:01 AM,C,9.649
3/2/11 5:56:01 AM,C,10.652
3/2/11 6:11:01 AM,C,12.156
3/2/11 6:26:01 AM,C,11.654
3/2/11 6:41:01 AM,C,10.652
3/2/11 6:56:01 AM,C,9.649
3/2/11 7:11:01 AM,C,9.649
3/2/11 7:26:01 AM,C,10.652
3/2/11 7:41:01 AM,C,11.153
3/2/11 7:56:01 AM,C,10.652
3/2/11 8:11:01 AM,C,11.654
3/2/11 8:26:01 AM,C,13.158
3/2/11 8:41:01 AM,C,14.16
3/2/11 8:56:01 AM,C,14.661
3/2/11 9:11:01 AM,C,14.661
3/2/11 9:26:01 AM,C,14.661
3/2/11 9:41:01 AM,C,15.162
3/2/11 9:56:01 AM,C,18.167
3/2/11 10:11:01 AM,C,18.668
3/2/11 10:26:01 AM,C,20.169
3/2/11 10:41:01 AM,C,19.669
3/2/11 10:56:01 AM,C,19.168
3/2/11 11:11:01 AM,C,19.669
3/2/11 11:26:01 AM,C,18.668
3/2/11 11:41:01 AM,C,19.168
3/2/11 11:56:01 AM,C,19.168
3/2/11 12:11:01 PM,C,19.669
3/2/11 12:26:01 PM,C,20.169
3/2/11 12:41:01 PM,C,20.67
3/2/11 12:56:01 PM,C,21.671
3/2/11 1:11:01 PM,C,21.671
3/2/11 1:26:01 PM,C,21.671
3/2/11 1:41:01 PM,C,22.671
3/2/11 1:56:01 PM,C,21.671
3/2/11 2:11:01 PM,C,22.171
3/2/11 2:26:01 PM,C,22.671
3/2/11 2:41:01 PM,C,22.171
3/2/11 2:56:01 PM,C,24.672
3/2/11 3:11:01 PM,C,25.672
3/2/11 3:26:01 PM,C,29.17
3/2/11 3:41:01 PM,C,27.671
3/2/11 3:56:01 PM,C,27.671
3/2/11 4:11:01 PM,C,26.672
3/2/11 4:26:01 PM,C,24.172
3/2/11 4:41:01 PM,C,22.671
3/2/11 4:56:01 PM,C,23.672
3/2/11 5:11:01 PM,C,23.171
3/2/11 5:26:01 PM,C,21.671
3/2/11 5:41:01 PM,C,22.171
3/2/11 5:56:01 PM,C,20.67
3/2/11 6:11:01 PM,C,17.667
3/2/11 6:26:01 PM,C,16.164
3/2/11 6:41:01 PM,C,15.663
3/2/11 6:56:01 PM,C,14.661
3/2/11 7:11:01 PM,C,13.659
3/2/11 7:26:01 PM,C,13.659
3/2/11 7:41:01 PM,C,13.659
3/2/11 7:56:01 PM,C,13.158
3/2/11 8:11:01 PM,C,12.657
3/2/11 8:26:01 PM,C,13.158
3/2/11 8:41:01 PM,C,13.659
3/2/11 8:56:01 PM,C,13.659
3/2/11 9:11:01 PM,C,13.659
3/2/11 9:26:01 PM,C,15.162
3/2/11 9:41:01 PM,C,14.661
3/2/11 9:56:01 PM,C,15.162
3/2/11 10:11:01 PM,C,14.16
3/2/11 10:26:01 PM,C,15.162
3/2/11 10:41:01 PM,C,15.663
3/2/11 10:56:01 PM,C,15.663
3/2/11 11:11:01 PM,C,14.661
3/2/11 11:26:01 PM,C,13.158
3/2/11 11:41:01 PM,C,12.156
3/2/11 11:56:01 PM,C,12.156
3/3/11 12:11:01 AM,C,12.657
3/3/11 12:26:01 AM,C,13.158
3/3/11 12:41:01 AM,C,14.16
3/3/11 12:56:01 AM,C,14.661
3/3/11 1:11:01 AM,C,14.16
3/3/11 1:26:01 AM,C,13.659
3/3/11 1:41:01 AM,C,14.16
3/3/11 1:56:01 AM,C,14.16
3/3/11 2:11:01 AM,C,14.661
3/3/11 2:26:01 AM,C,14.661
3/3/11 2:41:01 AM,C,14.661
3/3/11 2:56:01 AM,C,14.661
3/3/11 3:11:01 AM,C,14.661
3/3/11 3:26:01 AM,C,14.661
3/3/11 3:41:01 AM,C,14.16
3/3/11 3:56:01 AM,C,14.16
3/3/11 4:11:01 AM,C,13.659
3/3/11 4:26:01 AM,C,13.158
3/3/11 4:41:01 AM,C,12.657
3/3/11 4:56:01 AM,C,12.657
3/3/11 5:11:01 AM,C,13.659
3/3/11 5:26:01 AM,C,12.657
3/3/11 5:41:01 AM,C,12.156
3/3/11 5:56:01 AM,C,13.158
3/3/11 6:11:01 AM,C,12.657
3/3/11 6:26:01 AM,C,12.657
3/3/11 6:41:01 AM,C,12.156
3/3/11 6:56:01 AM,C,12.156
3/3/11 7:11:01 AM,C,12.156
3/3/11 7:26:01 AM,C,12.657
3/3/11 7:41:01 AM,C,13.158
3/3/11 7:56:01 AM,C,13.158
3/3/11 8:11:01 AM,C,13.158
3/3/11 8:26:01 AM,C,13.158
3/3/11 8:41:01 AM,C,13.659
3/3/11 8:56:01 AM,C,14.661
3/3/11 9:11:01 AM,C,14.16
3/3/11 9:26:01 AM,C,15.162
3/3/11 9:41:01 AM,C,15.663
3/3/11 9:56:01 AM,C,18.167
3/3/11 10:11:01 AM,C,18.668
3/3/11 10:26:01 AM,C,19.168
3/3/11 10:41:01 AM,C,17.667
3/3/11 10:56:01 AM,C,17.667
3/3/11 11:11:01 AM,C,18.668
3/3/11 11:26:01 AM,C,18.167
