1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4600000014989641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Sat Feb 26 12:27:01 CST 2011
Mission Sample Count:  1426
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Sat Feb 26 12:27:01 CST 2011
Total Mission Samples:  1426
Total Device Samples:  9276
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/11/11 9:57:01 AM,%RH,22.128
3/11/11 10:12:01 AM,%RH,19.529
3/11/11 10:27:01 AM,%RH,24.065
3/11/11 10:42:01 AM,%RH,24.708
3/11/11 10:57:01 AM,%RH,23.42
3/11/11 11:12:01 AM,%RH,22.128
3/11/11 11:27:01 AM,%RH,22.774
3/11/11 11:42:01 AM,%RH,22.128
3/11/11 11:57:01 AM,%RH,20.181
3/11/11 12:12:01 PM,%RH,18.877
3/11/11 12:27:01 PM,%RH,18.224
3/11/11 12:42:01 PM,%RH,18.224
3/11/11 12:57:01 PM,%RH,15.6
3/11/11 1:12:01 PM,%RH,15.6
3/11/11 1:27:01 PM,%RH,14.941
3/11/11 1:42:01 PM,%RH,15.6
3/11/11 1:57:01 PM,%RH,13.62
3/11/11 2:12:01 PM,%RH,12.958
3/11/11 2:27:01 PM,%RH,14.281
3/11/11 2:42:01 PM,%RH,12.295
3/11/11 2:57:01 PM,%RH,13.62
3/11/11 3:12:01 PM,%RH,12.958
3/11/11 3:27:01 PM,%RH,14.281
3/11/11 3:42:01 PM,%RH,13.62
3/11/11 3:57:01 PM,%RH,14.281
3/11/11 4:12:01 PM,%RH,14.941
3/11/11 4:27:01 PM,%RH,12.958
3/11/11 4:42:01 PM,%RH,13.62
3/11/11 4:57:01 PM,%RH,12.295
3/11/11 5:12:01 PM,%RH,12.958
3/11/11 5:27:01 PM,%RH,12.295
3/11/11 5:42:01 PM,%RH,14.281
3/11/11 5:57:01 PM,%RH,14.941
3/11/11 6:12:01 PM,%RH,16.257
3/11/11 6:27:01 PM,%RH,16.914
3/11/11 6:42:01 PM,%RH,16.914
3/11/11 6:57:01 PM,%RH,17.57
3/11/11 7:12:01 PM,%RH,19.529
3/11/11 7:27:01 PM,%RH,19.529
3/11/11 7:42:01 PM,%RH,20.181
3/11/11 7:57:01 PM,%RH,21.48
3/11/11 8:12:01 PM,%RH,21.48
3/11/11 8:27:01 PM,%RH,22.128
3/11/11 8:42:01 PM,%RH,21.48
3/11/11 8:57:01 PM,%RH,22.128
3/11/11 9:12:01 PM,%RH,22.128
3/11/11 9:27:01 PM,%RH,22.128
3/11/11 9:42:01 PM,%RH,22.128
3/11/11 9:57:01 PM,%RH,22.774
3/11/11 10:12:01 PM,%RH,22.774
3/11/11 10:27:01 PM,%RH,23.42
3/11/11 10:42:01 PM,%RH,22.128
3/11/11 10:57:01 PM,%RH,23.42
3/11/11 11:12:01 PM,%RH,22.774
3/11/11 11:27:01 PM,%RH,23.42
3/11/11 11:42:01 PM,%RH,22.774
3/11/11 11:57:01 PM,%RH,22.774
3/12/11 12:12:01 AM,%RH,23.42
3/12/11 12:27:01 AM,%RH,22.128
3/12/11 12:42:01 AM,%RH,21.48
3/12/11 12:57:01 AM,%RH,21.48
3/12/11 1:12:01 AM,%RH,22.774
3/12/11 1:27:01 AM,%RH,22.774
3/12/11 1:42:01 AM,%RH,24.065
3/12/11 1:57:01 AM,%RH,22.774
3/12/11 2:12:01 AM,%RH,21.48
3/12/11 2:27:01 AM,%RH,21.48
3/12/11 2:42:01 AM,%RH,22.128
3/12/11 2:57:01 AM,%RH,22.774
3/12/11 3:12:01 AM,%RH,20.181
3/12/11 3:27:01 AM,%RH,19.529
3/12/11 3:42:01 AM,%RH,20.831
3/12/11 3:57:01 AM,%RH,22.128
3/12/11 4:12:01 AM,%RH,23.42
3/12/11 4:27:01 AM,%RH,23.42
3/12/11 4:42:01 AM,%RH,23.42
3/12/11 4:57:01 AM,%RH,24.708
3/12/11 5:12:01 AM,%RH,24.708
3/12/11 5:27:01 AM,%RH,24.065
3/12/11 5:42:01 AM,%RH,24.065
3/12/11 5:57:01 AM,%RH,24.708
3/12/11 6:12:01 AM,%RH,24.708
3/12/11 6:27:01 AM,%RH,24.065
3/12/11 6:42:01 AM,%RH,24.708
3/12/11 6:57:01 AM,%RH,25.992
3/12/11 7:12:01 AM,%RH,25.992
3/12/11 7:27:01 AM,%RH,24.065
3/12/11 7:42:01 AM,%RH,22.774
3/12/11 7:57:01 AM,%RH,22.774
3/12/11 8:12:01 AM,%RH,22.774
3/12/11 8:27:01 AM,%RH,21.48
3/12/11 8:42:01 AM,%RH,20.181
3/12/11 8:57:01 AM,%RH,19.529
3/12/11 9:12:01 AM,%RH,17.57
3/12/11 9:27:01 AM,%RH,16.257
3/12/11 9:42:01 AM,%RH,14.941
3/12/11 9:57:01 AM,%RH,15.6
3/12/11 10:12:01 AM,%RH,14.941
3/12/11 10:27:01 AM,%RH,14.941
3/12/11 10:42:01 AM,%RH,14.281
3/12/11 10:57:01 AM,%RH,14.281
3/12/11 11:12:01 AM,%RH,14.941
3/12/11 11:27:01 AM,%RH,15.6
3/12/11 11:42:01 AM,%RH,14.281
3/12/11 11:57:01 AM,%RH,13.62
3/12/11 12:12:01 PM,%RH,14.281
3/12/11 12:27:01 PM,%RH,14.941
3/12/11 12:42:01 PM,%RH,14.281
3/12/11 12:57:01 PM,%RH,14.281
3/12/11 1:12:01 PM,%RH,14.281
3/12/11 1:27:01 PM,%RH,14.941
3/12/11 1:42:01 PM,%RH,13.62
3/12/11 1:57:01 PM,%RH,12.958
3/12/11 2:12:01 PM,%RH,11.631
3/12/11 2:27:01 PM,%RH,12.958
3/12/11 2:42:01 PM,%RH,12.295
3/12/11 2:57:01 PM,%RH,10.966
3/12/11 3:12:01 PM,%RH,12.295
3/12/11 3:27:01 PM,%RH,10.966
3/12/11 3:42:01 PM,%RH,10.299
3/12/11 3:57:01 PM,%RH,11.631
3/12/11 4:12:01 PM,%RH,12.295
3/12/11 4:27:01 PM,%RH,12.295
3/12/11 4:42:01 PM,%RH,12.958
3/12/11 4:57:01 PM,%RH,13.62
3/12/11 5:12:01 PM,%RH,14.941
3/12/11 5:27:01 PM,%RH,14.281
3/12/11 5:42:01 PM,%RH,14.941
3/12/11 5:57:01 PM,%RH,14.941
3/12/11 6:12:01 PM,%RH,16.257
3/12/11 6:27:01 PM,%RH,15.6
3/12/11 6:42:01 PM,%RH,14.941
3/12/11 6:57:01 PM,%RH,15.6
3/12/11 7:12:01 PM,%RH,15.6
3/12/11 7:27:01 PM,%RH,14.941
3/12/11 7:42:01 PM,%RH,14.281
3/12/11 7:57:01 PM,%RH,14.941
3/12/11 8:12:01 PM,%RH,14.281
3/12/11 8:27:01 PM,%RH,15.6
3/12/11 8:42:01 PM,%RH,14.941
3/12/11 8:57:01 PM,%RH,14.941
3/12/11 9:12:01 PM,%RH,14.941
3/12/11 9:27:01 PM,%RH,15.6
3/12/11 9:42:01 PM,%RH,16.257
3/12/11 9:57:01 PM,%RH,15.6
3/12/11 10:12:01 PM,%RH,14.941
3/12/11 10:27:01 PM,%RH,15.6
3/12/11 10:42:01 PM,%RH,15.6
3/12/11 10:57:01 PM,%RH,15.6
3/12/11 11:12:01 PM,%RH,15.6
3/12/11 11:27:01 PM,%RH,16.257
3/12/11 11:42:01 PM,%RH,17.57
3/12/11 11:57:01 PM,%RH,16.914
3/13/11 12:12:01 AM,%RH,16.257
3/13/11 12:27:01 AM,%RH,14.941
3/13/11 12:42:01 AM,%RH,14.941
3/13/11 12:57:01 AM,%RH,14.281
3/13/11 1:12:01 AM,%RH,14.281
3/13/11 1:27:01 AM,%RH,14.941
3/13/11 1:42:01 AM,%RH,14.281
3/13/11 1:57:01 AM,%RH,16.257
3/13/11 2:12:01 AM,%RH,16.914
3/13/11 2:27:01 AM,%RH,18.224
3/13/11 2:42:01 AM,%RH,17.57
3/13/11 2:57:01 AM,%RH,17.57
3/13/11 3:12:01 AM,%RH,18.224
3/13/11 3:27:01 AM,%RH,18.877
3/13/11 3:42:01 AM,%RH,20.181
3/13/11 3:57:01 AM,%RH,20.831
3/13/11 4:12:01 AM,%RH,20.831
3/13/11 4:27:01 AM,%RH,20.831
3/13/11 4:42:01 AM,%RH,21.48
3/13/11 4:57:01 AM,%RH,23.42
3/13/11 5:12:01 AM,%RH,22.128
3/13/11 5:27:01 AM,%RH,23.42
3/13/11 5:42:01 AM,%RH,22.774
3/13/11 5:57:01 AM,%RH,22.774
3/13/11 6:12:01 AM,%RH,24.065
3/13/11 6:27:01 AM,%RH,24.708
3/13/11 6:42:01 AM,%RH,24.708
3/13/11 6:57:01 AM,%RH,26.633
3/13/11 7:12:01 AM,%RH,25.992
3/13/11 7:27:01 AM,%RH,25.992
3/13/11 7:42:01 AM,%RH,25.351
3/13/11 7:57:01 AM,%RH,25.351
3/13/11 8:12:01 AM,%RH,24.708
3/13/11 8:27:01 AM,%RH,24.065
3/13/11 8:42:01 AM,%RH,23.42
